Prisma_Cloud_Policy,Severity,Category,Checkov_ID
AWS SageMaker model does not use network isolation,MEDIUM,AWS Networking Policies,CKV_AWS_370
AWS SageMaker notebook instance IAM policy is overly permissive,MEDIUM,AWS Networking Policies,CKV2_AWS_68
DocDB TLS is disabled,MEDIUM,AWS Networking Policies,CKV_AWS_90
TLS not enforced in SES configuration set,MEDIUM,AWS Networking Policies,CKV_AWS_365
Amazon MQ Broker logging is not enabled,MEDIUM,AWS Logging Policies,CKV_AWS_48
Amazon MSK cluster logging is not enabled,MEDIUM,AWS Logging Policies,CKV_AWS_80
An S3 bucket must have a lifecycle configuration,MEDIUM,AWS Logging Policies,CKV2_AWS_61
AWS config is not enabled in all regions,MEDIUM,AWS Logging Policies,CKV_AWS_121
AWS DocumentDB logging is not enabled,MEDIUM,AWS Logging Policies,CKV_AWS_85
Execution history logging is not enabled on the State Machine,MEDIUM,AWS Logging Policies,CKV_AWS_285
Lambda function's environment variables expose secrets,MEDIUM,AWS Secrets Policies,CKV_AWS_45
Access is not controlled through Single Sign-On (SSO),LOW,AWS IAM Policies,CKV_AWS_273
AWS Execution Role ARN and Task Role ARN are different in ECS Task definitions,LOW,AWS IAM Policies,CKV_AWS_249
AWS IAM password policy does not have a number,LOW,AWS IAM Policies,CKV_AWS_12
AWS IAM policies that allow full administrative privileges are created,LOW,AWS IAM Policies,CKV_AWS_1
AWS IAM policy attached to users,LOW,AWS IAM Policies,CKV_AWS_40
AWS Neptune Cluster not configured with IAM authentication,LOW,AWS IAM Policies,CKV_AWS_359
AWS OpenSearch Fine-grained access control is disabled,LOW,AWS IAM Policies,CKV2_AWS_52
Credentials exposure actions return credentials in an API response,LOW,AWS IAM Policies,CKV_AWS_107
Data exfiltration allowed without resource constraints,LOW,AWS IAM Policies,CKV_AWS_108
Not all IAM users are members of at least one IAM group,LOW,AWS IAM Policies,CKV2_AWS_21
Resource exposure allows modification of policies and exposes resources,LOW,AWS IAM Policies,CKV_AWS_109
Respective logs of Amazon RDS are disabled,LOW,AWS IAM Policies,CKV_AWS_129
Write access allowed without constraint,LOW,AWS IAM Policies,CKV_AWS_111
Alibaba Cloud MongoDB is not deployed inside a VPC,LOW,AWS General Policies,CKV_ALI_41
Amazon EFS does not have an AWS Backup backup plan,LOW,AWS General Policies,CKV2_AWS_18
Autoscaling groups did not supply tags to launch configurations,LOW,AWS General Policies,CKV_AWS_153
AWS ACM certificates does not have logging preference,LOW,AWS General Policies,CKV_AWS_234
AWS AMI copying does not use a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_236
AWS AMI launch permissions are not limited,LOW,AWS General Policies,CKV_AWS_205
AWS AMIs are not encrypted by Key Management Service (KMS) using Customer Managed Keys (CMKs),LOW,AWS General Policies,CKV_AWS_204
AWS API deployments do not enable Create before Destroy,LOW,AWS General Policies,CKV_AWS_217
AWS API Gateway caching is disabled,LOW,AWS General Policies,CKV_AWS_120
AWS API Gateway Domain does not use a modern security policy,LOW,AWS General Policies,CKV_AWS_206
AWS API Gateway endpoints without client certificate authentication,LOW,AWS General Policies,CKV2_AWS_51
AWS API Gateway method settings do not enable caching,LOW,AWS General Policies,CKV_AWS_225
AWS API gateway request parameter is not validated,LOW,AWS General Policies,CKV2_AWS_53
AWS App Flow connector profile does not use Customer Managed Keys (CMKs),LOW,AWS General Policies,CKV_AWS_264
AWS App Flow flow does not use Customer Managed Keys (CMKs),LOW,AWS General Policies,CKV_AWS_263
AWS Appsync API Cache is not encrypted at rest,LOW,AWS General Policies,CKV_AWS_214
AWS Appsync API Cache is not encrypted in transit,LOW,AWS General Policies,CKV_AWS_215
AWS AppSync is not protected by WAF,LOW,AWS General Policies,CKV2_AWS_33
AWS AppSync's logging is disabled,LOW,AWS General Policies,CKV_AWS_193
AWS Batch Job is defined as a privileged container,LOW,AWS General Policies,CKV_AWS_210
AWS Bedrock agent is not associated with Bedrock guardrails,LOW,AWS General Policies,CKV_AWS_383
AWS Cloudsearch does not use HTTPs,LOW,AWS General Policies,CKV_AWS_220
AWS cluster logging is not enabled or client to container communication not encrypted using a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_224
AWS Code Artifact Domain is not encrypted by KMS using a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_221
AWS Codecommit branch changes has less than 2 approvals,LOW,AWS General Policies,CKV_AWS_257
AWS Codecommit is not associated with an approval rule,LOW,AWS General Policies,CKV2_AWS_37
AWS CodeGuru Reviewer repository association does not use a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_381
AWS CodePipeline artifactStore is not encrypted by Key Management Service (KMS) using a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_219
AWS copied AMIs are not encrypted,LOW,AWS General Policies,CKV_AWS_235
AWS DB instance does not get all minor upgrades automatically,LOW,AWS General Policies,CKV_AWS_226
AWS DLM cross-region events are not encrypted,LOW,AWS General Policies,CKV_AWS_253
AWS DLM cross-region events are not encrypted with a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_254
AWS DLM cross-region schedules are not encrypted using a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_256
AWS DLM-cross region schedules are not encrypted,LOW,AWS General Policies,CKV_AWS_255
AWS DMS replication instance automatic version upgrade disabled,LOW,AWS General Policies,CKV_AWS_222
AWS Doc DB not encrypted using Customer Managed Key,LOW,AWS General Policies,CKV_AWS_182
AWS DocumentDB clusters have backup retention period less than 7 days,LOW,AWS General Policies,CKV_AWS_360
AWS ECS Cluster does not enable logging of ECS Exec,LOW,AWS General Policies,CKV_AWS_223
AWS Elastic File System (EFS) is not encrypted using Customer Managed Key,LOW,AWS General Policies,CKV_AWS_184
AWS Elastic Load Balancer v2 with deletion protection feature disabled,LOW,AWS General Policies,CKV_AWS_150
AWS EMR cluster is not configured with Kerberos Authentication,LOW,AWS General Policies,CKV_AWS_114
AWS Execution Role ARN and Task Role ARN are different in ECS Task definitions,LOW,AWS General Policies,CKV_AWS_249
AWS FSX openzfs is not encrypted by AWS' Key Management Service (KMS) using a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_203
AWS FSX Windows filesystem not encrypted using Customer Managed Key,LOW,AWS General Policies,CKV_AWS_179
AWS fx ontap file system not encrypted using Customer Managed Key,LOW,AWS General Policies,CKV_AWS_178
AWS Glue component is not associated with a security configuration,LOW,AWS General Policies,CKV_AWS_195
AWS HTTP and HTTPS target groups do not define health check,LOW,AWS General Policies,CKV_AWS_261
AWS Image Builder component not encrypted using Customer Managed Key,LOW,AWS General Policies,CKV_AWS_180
AWS Key Management Service (KMS) key is disabled,LOW,AWS General Policies,CKV_AWS_227
AWS Keyspace Table does not use Customer Managed Keys (CMKs),LOW,AWS General Policies,CKV_AWS_265
AWS Lambda Function is not assigned to access within VPC,LOW,AWS General Policies,CKV_AWS_117
AWS Lambda function is not configured for a DLQ,LOW,AWS General Policies,CKV_AWS_116
AWS Lambda function is not configured for function-level concurrent execution Limit,LOW,AWS General Policies,CKV_AWS_115
AWS Lambda Function resource-based policy is overly permissive,LOW,AWS General Policies,CKV_AWS_301
AWS lustre file system not configured with CMK key,LOW,AWS General Policies,CKV_AWS_190
AWS MemoryDB data is not encrypted in transit,LOW,AWS General Policies,CKV_AWS_202
AWS MemoryDB is not encrypted at rest by AWS' Key Management Service KMS using CMKs,LOW,AWS General Policies,CKV_AWS_201
AWS MQ Broker is not encrypted by Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_209
AWS MQBroker audit logging is disabled,LOW,AWS General Policies,CKV_AWS_197
AWS MQBroker version is not up to date,LOW,AWS General Policies,CKV_AWS_208
AWS MQBroker's minor version updates are disabled,LOW,AWS General Policies,CKV_AWS_207
AWS MWAA environment has scheduler logs disabled,LOW,AWS General Policies,CKV_AWS_242
AWS MWAA environment has webserver logs disabled,LOW,AWS General Policies,CKV_AWS_244
AWS MWAA environment has worker logs disabled,LOW,AWS General Policies,CKV_AWS_243
AWS QLDB ledger has deletion protection is disabled,LOW,AWS General Policies,CKV_AWS_172
AWS RDS does not use a modern CaCert,LOW,AWS General Policies,CKV_AWS_211
AWS replicated backups are not encrypted at rest by Key Management Service (KMS) using a Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_245
AWS resources that support tags do not have Tags,LOW,AWS General Policies,CKV_AWS_CUSTOM_1
AWS Sagemaker Data Quality Job not encrypting communications between instances used for monitoring jobs,LOW,AWS General Policies,CKV_AWS_369
AWS Sagemaker data quality job not encrypting model artifacts with KMS,LOW,AWS General Policies,CKV_AWS_367
AWS Sagemaker Data Quality Job not using KMS to encrypt data on attached storage volume,LOW,AWS General Policies,CKV_AWS_368
AWS Sagemaker domain not encrypted using Customer Managed Key,LOW,AWS General Policies,CKV_AWS_187
AWS SageMaker Flow Definition does not use KMS for output configurations,LOW,AWS General Policies,CKV_AWS_372
AWS Secret Manager Automatic Key Rotation is not enabled,LOW,AWS General Policies,CKV2_AWS_57
AWS Secrets Manager secret not encrypted by Customer Managed Key (CMK),LOW,AWS General Policies,CKV_AWS_149
AWS SSM Parameter is not encrypted,LOW,AWS General Policies,CKV2_AWS_34
AWS Terraform sends SSM secrets to untrusted domains over HTTP,LOW,AWS General Policies,CKV2_AWS_36
AWS Transit Gateway auto accept vpc attachment is enabled,LOW,AWS General Policies,CKV_AWS_331
Clusters of Neptune DB do not replicate tags to snapshots,LOW,AWS General Policies,CKV_AWS_362
DocDB does not have audit logs enabled,LOW,AWS General Policies,CKV_AWS_104
ECR image tags are not immutable,LOW,AWS General Policies,CKV_AWS_51
Ensure AWS API gateway enables Create before Destroy,LOW,AWS General Policies,CKV_AWS_237
GuardDuty is not enabled to specific org/region,LOW,AWS General Policies,CKV2_AWS_3
RDS clusters do not have an AWS Backup backup plan,LOW,AWS General Policies,CKV2_AWS_8
RDS instances do not have Multi-AZ enabled,LOW,AWS General Policies,CKV_AWS_157
Redshift clusters version upgrade is not default,LOW,AWS General Policies,CKV_AWS_141
S3 bucket cross-region replication disabled,LOW,AWS General Policies,CKV_AWS_144
S3 bucket lock configuration disabled,LOW,AWS General Policies,CKV_AWS_143
Unencrypted ECR repositories,LOW,AWS General Policies,CKV_AWS_136
Unencrypted RDS global clusters,LOW,AWS General Policies,CKV_AWS_140
WAF rule does not have any actions,LOW,AWS General Policies,CKV_AWS_342
ALB does not redirect HTTP requests into HTTPS ones,LOW,AWS Networking Policies,CKV2_AWS_20
Auto scaling groups associated with a load balancer do not use elastic load balancing health checks,LOW,AWS Networking Policies,CKV2_AWS_15
AWS ACM certificate does not enable Create before Destroy,LOW,AWS Networking Policies,CKV_AWS_233
AWS ACM Certificate with wildcard domain name,LOW,AWS Networking Policies,CKV2_AWS_71
AWS Application Load Balancer (ALB) not configured with AWS Web Application Firewall v2 (AWS WAFv2),LOW,AWS Networking Policies,CKV2_AWS_28
AWS Database Migration Service endpoint do not have SSL configured,LOW,AWS Networking Policies,CKV2_AWS_49
AWS Elastic Load Balancer (Classic) with cross-zone load balancing disabled,LOW,AWS Networking Policies,CKV_AWS_138
AWS ELB Policy uses some unsecure protocols,LOW,AWS Networking Policies,CKV_AWS_213
AWS Load Balancers do not use strong ciphers,LOW,AWS Networking Policies,CKV2_AWS_74
AWS NAT Gateways are not utilized for the default route,LOW,AWS Networking Policies,CKV2_AWS_35
AWS route table with VPC peering overly permissive to all traffic,LOW,AWS Networking Policies,CKV2_AWS_44
AWS SageMaker notebook instance configured with direct internet access feature,LOW,AWS Networking Policies,CKV_AWS_122
AWS Transfer Server not using latest Security Policy,LOW,AWS Networking Policies,CKV_AWS_380
AWS VPC subnets should not allow automatic public IP assignment,LOW,AWS Networking Policies,CKV_AWS_130
AWS WAF does not have associated rules,LOW,AWS Networking Policies,CKV_AWS_175
Default VPC is planned to be provisioned,LOW,AWS Networking Policies,CKV_AWS_148
Not all EIP addresses allocated to a VPC are attached to EC2 instances,LOW,AWS Networking Policies,CKV2_AWS_19
Not every Security Group rule has a description,LOW,AWS Networking Policies,CKV_AWS_23
Redshift is deployed outside of a VPC,LOW,AWS Networking Policies,CKV_AWS_154
Route 53 domains do not have transfer lock protection,LOW,AWS Networking Policies,CKV_AWS_377
VPC endpoint service is not configured for manual acceptance,LOW,AWS Networking Policies,CKV_AWS_123
API Gateway does not have access logging enabled,LOW,AWS Logging Policies,CKV_AWS_76
API Gateway does not have X-Ray tracing enabled,LOW,AWS Logging Policies,CKV_AWS_73
API Gateway stage does not have logging level defined appropriately,LOW,AWS Logging Policies,CKV2_AWS_4
AWS API Gateway V2 has Access Logging is disabled,LOW,AWS Logging Policies,CKV_AWS_95
AWS CloudTrail log validation is not enabled in all regions,LOW,AWS Logging Policies,CKV_AWS_36
AWS CloudWatch Log groups not configured with definite retention days,LOW,AWS Logging Policies,CKV_AWS_66
AWS ECS cluster with container insights feature disabled,LOW,AWS Logging Policies,CKV_AWS_65
AWS ECS services have automatic public IP address assignment enabled,LOW,AWS Logging Policies,CKV_AWS_333
AWS WAF Web Access Control Lists logging is disabled,LOW,AWS Logging Policies,CKV_AWS_176
AWS WAF2 does not have a Logging Configuration,LOW,AWS Logging Policies,CKV2_AWS_31
Data Trace is not enabled in the API Gateway Method Settings,LOW,AWS Logging Policies,CKV_AWS_276
Domain Name System (DNS) query logging is not enabled for Amazon Route 53 hosted zones,LOW,AWS Logging Policies,CKV2_AWS_39
Global Accelerator does not have Flow logs enabled,LOW,AWS Logging Policies,CKV_AWS_75
RDS instances have performance insights disabled,LOW,AWS Logging Policies,CKV_AWS_353
State machine does not have X-ray tracing enabled,LOW,AWS Logging Policies,CKV_AWS_284
AWS Lambda functions with tracing not enabled,LOW,AWS Serverless Policies,CKV_AWS_50
AWS IAM group not in use,INFO,AWS IAM Policies,CKV2_AWS_14
AWS IAM password policy does not expire in 90 days,INFO,AWS IAM Policies,CKV_AWS_9
AWS IAM password policy does not have a lowercase character,INFO,AWS IAM Policies,CKV_AWS_11
AWS IAM password policy does not have a minimum of 14 characters,INFO,AWS IAM Policies,CKV_AWS_10
AWS IAM password policy does not have a symbol,INFO,AWS IAM Policies,CKV_AWS_14
AWS IAM password policy does not have an uppercase character,INFO,AWS IAM Policies,CKV_AWS_15
SQS policy allows all actions,INFO,AWS IAM Policies,CKV_AWS_72
AWS AppSync has field-level logging disabled,INFO,AWS General Policies,CKV_AWS_194
AWS CloudTrail logging is disabled,INFO,AWS General Policies,CKV_AWS_251
AWS Config must record all possible resources,INFO,AWS General Policies,CKV2_AWS_48
AWS Config Recording is disabled,INFO,AWS General Policies,CKV2_AWS_45
AWS DynamoDB encrypted using AWS owned CMK instead of AWS managed CMK,INFO,AWS General Policies,CKV_AWS_119
AWS DynamoDB table Auto Scaling not enabled,INFO,AWS General Policies,CKV2_AWS_16
AWS ECS task definition is not configured with read-only access to container root filesystems,INFO,AWS General Policies,CKV_AWS_336
AWS Elastic Beanstalk environment managed platform updates are not enabled,INFO,AWS General Policies,CKV_AWS_340
AWS EMR cluster is not configured with security configuration,INFO,AWS General Policies,CKV2_AWS_55
AWS GuardDuty detector is not enabled,INFO,AWS General Policies,CKV_AWS_238
AWS Neptune cluster deletion protection is disabled,INFO,AWS General Policies,CKV2_AWS_58
AWS Neptune DB clusters have backup retention period less than 7 days,INFO,AWS General Policies,CKV_AWS_361
AWS SageMaker notebook instance with root access enabled,INFO,AWS General Policies,CKV_AWS_307
AWS SQS queue access policy is overly permissive,INFO,AWS General Policies,CKV_AWS_387
CloudTrail Event Data Store does not use Customer Managed Keys (CMKs),INFO,AWS General Policies,CKV_AWS_294
AWS Network ACL is not in use,INFO,AWS Networking Policies,CKV2_AWS_1
AWS SageMaker notebook instance is not placed in VPC,INFO,AWS Networking Policies,CKV_AWS_306
AWS CloudTrail is not enabled with multi trail and not capturing all management events,INFO,AWS Logging Policies,CKV_AWS_67
AWS CloudTrail logs are not encrypted using Customer Master Keys (CMKs),INFO,AWS Logging Policies,CKV_AWS_35
AWS CloudTrail trail logs is not integrated with CloudWatch Log,INFO,AWS Logging Policies,CKV2_AWS_10
AWS CloudWatch log groups retention set to less than 365 days,INFO,AWS Logging Policies,CKV_AWS_338
AWS CodeBuild project not configured with logging configuration,INFO,AWS Logging Policies,CKV_AWS_314
AWS Customer Master Key (CMK) rotation is not enabled,INFO,AWS Logging Policies,CKV_AWS_7
AWS Elastic Load Balancer (Classic) with access log disabled,INFO,AWS Logging Policies,CKV_AWS_92
AWS Network Firewall is not configured with logging configuration,INFO,AWS Logging Policies,CKV2_AWS_63
AWS VPC Flow Logs not enabled,INFO,AWS Logging Policies,CKV2_AWS_11
